Category,Project Management Specialists,Data Scientists,Industrial Engineers,Software Developers & QA,Management Analysts,Computer Systems Analysts,Actuaries
2024 Median Pay (Annual),"$100,750 ","$112,590 ","$101,140 ","$131,450 ","$101,190 ","$103,790 ","$125,770 "
2024 Median Pay (Hourly),$48.44 ,$54.13 ,$48.63 ,$63.20 ,$48.65 ,$49.90 ,$60.47 
Typical Entry-Level Education,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree
Work Experience (Related),None,None,None,None,< 5 years,None,None
On-the-job Training,None,None,None,None,None,None,Long-term
"Number of Jobs, 2024","1,046,300","245,900","351,100","1,895,500","1,075,100","521,100","33,600"
"Job Outlook, 2024–34",6% (Faster),34% (Much faster),11% (Much faster),15% (Much faster),9% (Much faster),9% (Much faster),22% (Much faster)
"Employment Change, 2024–34","58,700","82,500","38,500","287,900","94,500","45,500","7,300"
Do any of your findings surprise you?,"I found it surprising how high the median pay for a Data Scientist is with its growth rate of 34%. Additionally, I found it interesting how out of all the jobs, Management Analyst is the only one that emphasizes years of prior work experience to obtain the title.",,,,,,
"Rank the jobs you picked from best to worst, and briefly explain why you did so.",1. Data Scientist - great pay and growth rate,,,,,,
,2. Project Manager - very broad and across multiple industries while aligning well with teachings of my St,,,,,,
,3. Industrial Engineer - moderate growth but lower salary,,,,,,
,4. Software Developer - great pay but comes with high-stress times,,,,,,
,5. Computer Systems Analysis - more tech heavy field that I don't necessarily envision myself in,,,,,,
,6. Actuary - has exam requirements spanning over 6 years,,,,,,
,7. Mangement Analyst - difficult to get without prior work experience,,,,,,
